"","여성적인","부드러운","사랑스러운","은은한","매력적인","밝은","화려한","우아한","젊은","가벼운","자연적인","맑은","상쾌한","순수한","성숙한","달콤한","편안한","귀여운","깔끔한","신선한","수수한","서양적인","따뜻한","소박한","차분한","고급스러운","현대적인","무거운","인공적인","기운찬","동적인","도시적인","전원적인","기타","중후한","정적인","관능적인","시원한","남성적인","차가운","개성적인","점잖은","동양적인","거친","전통적인","어두운"
"aromatic",0.00636942675159236,0.0127388535031847,0.00636942675159236,0.0318471337579618,0.0191082802547771,0.0191082802547771,0.0127388535031847,0,0.0127388535031847,0.0191082802547771,0.0509554140127389,0.0191082802547771,0.0445859872611465,0.0191082802547771,0.0254777070063694,0,0.0191082802547771,0,0.0445859872611465,0.0318471337579618,0.0127388535031847,0,0.0254777070063694,0.0254777070063694,0.0573248407643312,0.0254777070063694,0,0.0573248407643312,0.0191082802547771,0.0127388535031847,0,0.0254777070063694,0.0254777070063694,0.00636942675159236,0.0573248407643312,0.0191082802547771,0.00636942675159236,0.0254777070063694,0.0509554140127389,0.0254777070063694,0.0191082802547771,0.0318471337579618,0.0254777070063694,0.00636942675159236,0.0254777070063694,0.0191082802547771
"aromatic aquatic",0.00294117647058824,0.0176470588235294,0.00588235294117647,0.0352941176470588,0.0205882352941176,0.0441176470588235,0.00588235294117647,0,0.0352941176470588,0.0588235294117647,0.0382352941176471,0.0529411764705882,0.0588235294117647,0.0264705882352941,0.0147058823529412,0.00294117647058824,0.0235294117647059,0,0.0558823529411765,0.0411764705882353,0.0147058823529412,0.00882352941176471,0.0147058823529412,0.0205882352941176,0.0323529411764706,0.0176470588235294,0.00588235294117647,0.0264705882352941,0.00882352941176471,0.0264705882352941,0.0205882352941176,0.0205882352941176,0.0147058823529412,0.00588235294117647,0.0264705882352941,0.00882352941176471,0.00294117647058824,0.0470588235294118,0.0352941176470588,0.0235294117647059,0.0176470588235294,0.0176470588235294,0.0147058823529412,0.00588235294117647,0.0117647058823529,0.00882352941176471
"aromatic fougere",0.0159235668789809,0.0286624203821656,0.0159235668789809,0.035031847133758,0.0318471337579618,0.0414012738853503,0.0127388535031847,0.00318471337579618,0.0254777070063694,0.0254777070063694,0.0382165605095541,0.0414012738853503,0.0573248407643312,0.0286624203821656,0.0191082802547771,0.0127388535031847,0.0222929936305732,0.00955414012738853,0.0414012738853503,0.0445859872611465,0.0159235668789809,0.00318471337579618,0.0191082802547771,0.0254777070063694,0.0414012738853503,0.0191082802547771,0.00636942675159236,0.0318471337579618,0.0159235668789809,0.0159235668789809,0,0.0159235668789809,0.0159235668789809,0.00318471337579618,0.035031847133758,0.0159235668789809,0.00636942675159236,0.0222929936305732,0.0254777070063694,0.0159235668789809,0.0191082802547771,0.0159235668789809,0.0191082802547771,0.00318471337579618,0.0254777070063694,0.0159235668789809
"aromatic fruity",0.0269461077844311,0.0179640718562874,0.0419161676646707,0.029940119760479,0.0269461077844311,0.0419161676646707,0.0209580838323353,0,0.0419161676646707,0.0419161676646707,0.0359281437125748,0.0329341317365269,0.0449101796407186,0.0419161676646707,0.0119760479041916,0.0479041916167665,0.0149700598802395,0.0419161676646707,0.0269461077844311,0.0449101796407186,0.0119760479041916,0.0029940119760479,0.0239520958083832,0.0209580838323353,0.029940119760479,0.0149700598802395,0.0029940119760479,0.0329341317365269,0.0149700598802395,0.0149700598802395,0.00898203592814371,0.0149700598802395,0.0149700598802395,0.0029940119760479,0.0269461077844311,0.00898203592814371,0.0029940119760479,0.0149700598802395,0.0239520958083832,0.0119760479041916,0.0119760479041916,0.0149700598802395,0.0119760479041916,0.0029940119760479,0.0119760479041916,0.00898203592814371
"aromatic green",0.00602409638554217,0.0180722891566265,0.00602409638554217,0.0301204819277108,0.00903614457831325,0.0210843373493976,0.00602409638554217,0.00602409638554217,0.0210843373493976,0.0421686746987952,0.0662650602409639,0.0421686746987952,0.072289156626506,0.0301204819277108,0.0210843373493976,0,0.0210843373493976,0,0.0421686746987952,0.0512048192771084,0.0271084337349398,0,0.0180722891566265,0.036144578313253,0.0481927710843374,0.0120481927710843,0,0.0271084337349398,0.0120481927710843,0.0150602409638554,0.00301204819277108,0.0120481927710843,0.036144578313253,0.00301204819277108,0.0301204819277108,0.0180722891566265,0.00301204819277108,0.036144578313253,0.0240963855421687,0.0150602409638554,0.0180722891566265,0.0240963855421687,0.0180722891566265,0.00903614457831325,0.0301204819277108,0.0120481927710843
"aromatic spicy",0.00341296928327645,0.0068259385665529,0.0068259385665529,0.0204778156996587,0.0341296928327645,0.0102389078498294,0.0307167235494881,0.00341296928327645,0.0102389078498294,0.0136518771331058,0.0307167235494881,0.0102389078498294,0.0341296928327645,0.0102389078498294,0.0341296928327645,0.00341296928327645,0.0102389078498294,0.00341296928327645,0.0307167235494881,0.0204778156996587,0.0068259385665529,0.0068259385665529,0.0204778156996587,0.0170648464163823,0.0341296928327645,0.0238907849829352,0.0102389078498294,0.0614334470989761,0.0273037542662116,0.0204778156996587,0.0102389078498294,0.0238907849829352,0.0170648464163823,0.00341296928327645,0.0580204778156997,0.0170648464163823,0.0204778156996587,0.0204778156996587,0.0511945392491468,0.0170648464163823,0.0443686006825939,0.0307167235494881,0.0341296928327645,0.0341296928327645,0.0409556313993174,0.0204778156996587
"chypre",0,0.0364963503649635,0,0.0364963503649635,0.0364963503649635,0.0437956204379562,0.0072992700729927,0.0072992700729927,0.0145985401459854,0.0218978102189781,0.0291970802919708,0.0437956204379562,0.0437956204379562,0.0072992700729927,0.0218978102189781,0.0072992700729927,0.0291970802919708,0.0218978102189781,0.0218978102189781,0.0437956204379562,0.0145985401459854,0.0218978102189781,0.0072992700729927,0.0072992700729927,0.0291970802919708,0.0291970802919708,0.0145985401459854,0.0291970802919708,0,0.0218978102189781,0.0218978102189781,0.0145985401459854,0.0218978102189781,0.0072992700729927,0.0145985401459854,0.0291970802919708,0.0218978102189781,0.0291970802919708,0.0364963503649635,0.0364963503649635,0.0437956204379562,0.0145985401459854,0,0.0218978102189781,0.0291970802919708,0.0072992700729927
"chypre floral",0.0457317073170732,0.0518292682926829,0.0365853658536585,0.0487804878048781,0.0487804878048781,0.0487804878048781,0.0335365853658537,0.0335365853658537,0.0304878048780488,0.0304878048780488,0.0335365853658537,0.0365853658536585,0.0365853658536585,0.0213414634146341,0.0274390243902439,0.0213414634146341,0.0274390243902439,0.024390243902439,0.0213414634146341,0.0304878048780488,0.0182926829268293,0.0182926829268293,0.0121951219512195,0.00914634146341463,0.0182926829268293,0.0182926829268293,0.0121951219512195,0.0182926829268293,0.00609756097560976,0.0121951219512195,0.0121951219512195,0.00914634146341463,0.0121951219512195,0.00609756097560976,0.00914634146341463,0.0152439024390244,0.0121951219512195,0.0121951219512195,0.0152439024390244,0.0152439024390244,0.0182926829268293,0.00609756097560976,0,0.00914634146341463,0.0121951219512195,0.00304878048780488
"chypre fruity",0.0254777070063694,0.0286624203821656,0.0414012738853503,0.0318471337579618,0.035031847133758,0.054140127388535,0.0191082802547771,0.00318471337579618,0.0445859872611465,0.0445859872611465,0.0254777070063694,0.0445859872611465,0.0445859872611465,0.0382165605095541,0.00955414012738853,0.054140127388535,0.0191082802547771,0.054140127388535,0.0159235668789809,0.0509554140127389,0.0127388535031847,0.0127388535031847,0.0159235668789809,0.0127388535031847,0.0159235668789809,0.0159235668789809,0.00955414012738853,0.0191082802547771,0.00636942675159236,0.0191082802547771,0.0191082802547771,0.00955414012738853,0.0127388535031847,0.00318471337579618,0.00636942675159236,0.0127388535031847,0.00955414012738853,0.0159235668789809,0.0159235668789809,0.0159235668789809,0.0222929936305732,0.00636942675159236,0,0.00955414012738853,0.0127388535031847,0.00318471337579618
"citrus",0.032051282051282,0.00641025641025641,0.0128205128205128,0.0192307692307692,0.032051282051282,0.0833333333333333,0.0128205128205128,0,0.0705128205128205,0.0641025641025641,0.0256410256410256,0.0448717948717949,0.115384615384615,0.0128205128205128,0,0.00641025641025641,0.0192307692307692,0.0256410256410256,0.0641025641025641,0.0576923076923077,0.00641025641025641,0,0,0.00641025641025641,0,0.00641025641025641,0.032051282051282,0,0,0.0448717948717949,0.0192307692307692,0.0448717948717949,0.00641025641025641,0.00641025641025641,0,0,0.00641025641025641,0.0576923076923077,0.00641025641025641,0.0256410256410256,0.0192307692307692,0,0,0.00641025641025641,0,0
